"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The invalid password must show an error without navigating; a valid retry must recover within the same browser context.","1792","Invalid Login Shows An Error And A Valid Retry Opens The Workshop","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"","1872","Dan Books API Testing","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Sequential","",""
"","1796","Bob Books API Testing","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Sequential","",""
"Use configured filters and transformations; compare the input file before and after to prove it is not rewritten.","6","Configured Files Match Without Changing Test Data","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"Two equivalent XML elements with reordered attributes must compare equal.","1","Attribute Order Does Not Affect Equality","Module Examples","2026-09-10","passed","2026-09-10","Xml Comparison","Xml","",""
"","5304","Carol Books UI Automation","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Parallel","",""
"Follow the same semantic Continue action across login and booking, and verify both resolved selectors and customer overrides.","2043","Same Continue Name Resolves To Different Locators On Two Pages","UI Examples","2026-09-10","passed","2026-09-10","02 Automatic Page And Method Resolution","UI components","",""
"Compare the same unequal page counts, explicitly excluding original page 2.","13","Excluded Page Does Not Affect Equality","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"A second blank page is still a structural difference; detecting it is the expected outcome.","15","Additional Blank Page Is A Difference","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"The same documents pass when explicitly configured dynamic fields are masked.","24","Configured Page And Text Masks Ignore Dynamic Fields","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"Register the response promise before the action to avoid a race, then assert HTTP status, data and visible feedback.","761","AJAX Wait Is Registered Before The Click And Checks Response And UI","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"These are demonstration messages. An ERROR log line alone is not a failed assertion.","29","Logging Levels Are Visible In The Report","Module Examples","2026-09-10","passed","2026-09-10","Logging","Core","",""
"A missing page is reported even when its pixel canvas would be blank.","38","Additional Blank Page Fails Visual Comparison","","2026-09-10","passed","2026-09-10","Visual Comparison","PDF Examples","",""
"An expected 401 is a successful negative test; assert the error payload as well.","4","Missing Authentication Returns Expected Error","","2026-09-10","passed","2026-09-10","01 Http Json Xml","API Examples","",""
"Address an open shadow root using a CSS locator; verify the component displays the entered text.","309","CSS Locator Reaches An Input Inside An Open Shadow Root","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Prove that an absent customer override falls back to Default Fill Text and still enters the intended value.","353","Missing Customer Fill Method Uses The Playbot Default","UI Examples","2026-09-10","passed","2026-09-10","02 Automatic Page And Method Resolution","UI components","",""
"Export a PNG with an opaque black region and inspect a pixel inside that region.","10","Screenshot Regions Are Opaque Black","","2026-09-10","passed","2026-09-10","Redaction","PDF Examples","",""
"","4","Small numbers","Module Examples","2026-09-10","passed","2026-09-10","Standalone","Data-Driven","",""
"Start an intentionally incompatible provider that returns amount as text. PASS means the validator detected the change.","31","Breaking Provider Field Type Is Detected","","2026-09-10","passed","2026-09-10","02 Openapi Contract","API Examples","",""
"Send a structured request body and compare the actual 201 response through the JSON module.","6","POST Sends JSON And Verifies Created Order","","2026-09-10","passed","2026-09-10","01 Http Json Xml","API Examples","",""
"","6156","Alice Books UI Automation","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Parallel","",""
"","1806","Carol Books UI Automation","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Sequential","",""
"Two simultaneously running mocks use different ports and never share mappings or journal state.","3478","Second Service Has Independent Mappings","","2026-09-10","passed","2026-09-10","03 Wiremock","API Examples","",""
"Each group represents one coherent part of the same business journey.","1831","Medium Level - Booking Is Composed From Reusable Action Groups","UI Examples","2026-09-10","passed","2026-09-10","01 Keyword Levels","UI components","",""
"Reject the confirmation dialog and verify the booking remains.","347","Confirmation Can Be Dismissed To Keep The Booking","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Use a CSS locator when a semantic page mapping is unnecessary; check the actual input value.","299","Technical Locator Can Be Used Directly Without A Semantic Mapping","UI Examples","2026-09-10","passed","2026-09-10","02 Automatic Page And Method Resolution","UI components","",""
"Perform a real pointer drag and verify the application accepts the dropped workshop.","387","Drag And Drop Adds A Workshop To The Target","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Limit comparison to the status field and ignore unrelated fixture differences.","2","Whitelist Selects Only Business Fields","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"After the app replaces a DOM node, reuse its selector and verify the replacement receives the new value.","464","Locator Finds The Replacement DOM Element On The Next Action","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"Demonstrate SOAP-over-HTTP with explicit SOAPAction. This does not generate a client from WSDL.","5","SOAP Envelope Is Sent And Compared As XML","","2026-09-10","passed","2026-09-10","01 Http Json Xml","API Examples","",""
"Export a raster PDF and verify the original searchable text is absent. Preview the output in the dashboard.","125","Redacted PDF Has No Original Text Layer","","2026-09-10","passed","2026-09-10","Redaction","PDF Examples","",""
"WireMock matches XML structurally; the XML module compares the received response.","1818","XML Request Matching And Response Comparison","","2026-09-10","passed","2026-09-10","03 Wiremock","API Examples","",""
"Stop after one differing page; the report records that the comparison limit was reached.","22","Difference Limit Stops After One Affected Page","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"Expanded input/select/click steps reveal the mechanics hidden by the higher levels.","1740","Low Level - Booking Uses Only Individual Technical Actions","UI Examples","2026-09-10","passed","2026-09-10","01 Keyword Levels","UI components","",""
"The name and date differ. Catch the expected failure and show the HTML/JSON evidence.","64","Changed Text Produces A Readable Difference","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"Stop at one difference and verify the report explicitly records the reached limit.","4","Configured Discrepancy Limit Is Recorded","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"","1089","First local page","Module Examples","2026-09-10","passed","2026-09-10","Browser Composition","Data-Driven","",""
"Assert an intentional short timeout, restore the normal timeout and verify successful navigation.","907","Slow Navigation Has A Bounded Timeout And Then Succeeds On Retry","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Change a running mock explicitly, then prove its request journal is empty after reset.","1842","Mappings Can Be Removed And Reset","","2026-09-10","passed","2026-09-10","03 Wiremock","API Examples","",""
"Catch an intentional XML mismatch and require a saved report for later diagnosis.","4","XML Assertion Persists Differences","Module Examples","2026-09-10","passed","2026-09-10","Xml Comparison","Xml","",""
"Sign in as two participants in separate contexts and show that their cookies and state stay isolated.","2690","Two Contexts Keep Their Participants Cookies And Storage Separate","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"A named scenario returns pending first and ready next; no sleeps are needed.","1756","Stateful Polling Changes Pending To Ready","","2026-09-10","passed","2026-09-10","03 Wiremock","API Examples","",""
"Compare two owned JSON fixtures and verify the public API returns a structured difference summary.","2","Different JSON Documents Produce A Structured Diff","Module Examples","2026-09-10","passed","2026-09-10","Json Comparison","Json","",""
"","5577","Bob Books API Testing","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Parallel","",""
"Coordinates outside 0–100 percent are rejected before comparison; no equality claim is produced.","16","Malformed Masks Fail Clearly","","2026-09-10","passed","2026-09-10","Visual Comparison","PDF Examples","",""
"Wait for the download before clicking and validate both the suggested name and the downloaded CSV contents.","357","Download Promise Captures The File Triggered By The Link","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Follow the complete redirect chain and assert the final URL and page content.","333","Three Redirects Finish On The Expected Local Page","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Switch the browser offline, verify the visible failure, then restore connectivity and retry the same operation.","907","Offline Failure Is Visible And The Same Action Recovers Online","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"A red rectangle becomes blue while text stays identical. Expect a pixel difference.","35","Graphic Color Changes Fail Visual Comparison","","2026-09-10","passed","2026-09-10","Visual Comparison","PDF Examples","",""
"","1950","Alice Books UI Automation","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Sequential","",""
"Install the dialog handler first so the browser can accept the alert raised by the click.","316","Alert Is Accepted Before The Triggering Click","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Reveal a hover menu, activate its action and assert the resulting content.","395","Hover Reveals A Menu Action","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"","5517","Dan Books API Testing","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Parallel","",""
"Catch an intentional mismatch and confirm the persisted report contains type information for both sides.","5","Assertion Writes A Useful Failure Report","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"Verify that a reload retains a user cookie and session storage in the same context.","1581","Cookies And Session Storage Survive Reload Within A Context","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Use the frame selector to interact with the embedded document instead of the parent page.","339","Frame Selector Addresses Only The Embedded Form","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Demonstrate URL credentials against the local fixture, using only public demo credentials.","293","HTTP Authentication Also Accepts Local Demo Credentials In The URL","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Configure the synthetic HTTP credentials on a new context and verify the protected local page opens.","404","HTTP Authentication Uses Explicit Context Credentials","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Upload the versioned preparation file and verify the app reads both its filename and contents.","297","File Upload Reads The Selected Local Fixture","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
